method,value,type
SEDR,1.501327037725154,ILISI
SEDR,1.6851301620001815,ILISI
SEDR,1.869083761373102,ILISI
SEDR,1.4031392405466223,ILISI
SEDR,1.5552326471160045,ILISI
SEDR,1.459319475518774,ILISI
SEDR,1.711555160639016,ILISI
SEDR,1.4488448534869047,ILISI
SEDR,1.6690848972332737,ILISI
SEDR,1.5933646997560535,ILISI
SEDR,1.4037614644349037,ILISI
SEDR,1.1751387112742677,ILISI
SEDR,1.3130217020600652,ILISI
SEDR,1.2410919150585138,ILISI
SEDR,1.314095814376984,ILISI
SEDR,1.569966001155773,ILISI
SEDR,1.6193982197011374,ILISI
SEDR,1.941369235803569,ILISI
SEDR,1.6939253134901895,ILISI
SEDR,1.9992472486335187,ILISI
SEDR,1.5480518966302044,ILISI
SEDR,1.9854271807804895,ILISI
SEDR,1.6475701273779046,ILISI
SEDR,1.3146418697333333,ILISI
SEDR,1.6626287007974399,ILISI
SEDR,1.4041989805050117,ILISI
SEDR,1.9975500353181137,ILISI
SEDR,1.6225153307561873,ILISI
SEDR,1.271744663723942,ILISI
SEDR,1.4126360880753215,ILISI
SEDR,1.2528422464197404,ILISI
SEDR,1.1796538096757625,ILISI
SEDR,1.2301975811184718,ILISI
SEDR,1.2634063869798426,ILISI
SEDR,1.2829920302896631,ILISI
SEDR,1.935696812352055,ILISI
SEDR,1.425416727158655,ILISI
SEDR,1.2360819358182114,ILISI
SEDR,1.4666330394223976,ILISI
SEDR,1.9197227886928225,ILISI
SEDR,1.2856359264246209,ILISI
SEDR,1.2142107289865274,ILISI
SEDR,1.5168209969502116,ILISI
SEDR,1.9642296923622748,ILISI
SEDR,1.5249680948892117,ILISI
SEDR,1.8397323075986474,ILISI
SEDR,1.8171171440565579,ILISI
SEDR,1.2840948341907046,ILISI
SEDR,1.9994233280576803,ILISI
SEDR,1.2315771761376724,ILISI
SEDR,1.2655543779936564,ILISI
SEDR,1.120251024352809,ILISI
SEDR,1.9635818077310065,ILISI
SEDR,1.2776515936662363,ILISI
SEDR,1.3276840685460325,ILISI
SEDR,1.8105560533025187,ILISI
SEDR,1.30955353833263,ILISI
SEDR,1.1655852459437694,ILISI
SEDR,1.4233398320733277,ILISI
SEDR,1.199459741235712,ILISI
SEDR,1.2496267387874878,ILISI
SEDR,1.6366723830298688,ILISI
SEDR,1.475028525625419,ILISI
SEDR,1.7764219116060656,ILISI
SEDR,1.157258040459027,ILISI
SEDR,1.2404447334933837,ILISI
SEDR,1.5484082942412654,ILISI
SEDR,1.8126945208468968,ILISI
SEDR,1.7808928359262635,ILISI
SEDR,1.3975979882788157,ILISI
SEDR,1.2407962342701013,ILISI
SEDR,1.5017673514089964,ILISI
SEDR,1.6651365277610732,ILISI
SEDR,1.9358368586599737,ILISI
SEDR,1.794402486048947,ILISI
SEDR,1.4853713348132231,ILISI
SEDR,1.4324153080173911,ILISI
SEDR,1.318214860890034,ILISI
