method,value,type
SEDR,1.0357134933137273,CLISI
SEDR,1.0,CLISI
SEDR,1.3719520669407215,CLISI
SEDR,2.210553652989148,CLISI
SEDR,1.0,CLISI
SEDR,1.0864189982042316,CLISI
SEDR,1.284293893768966,CLISI
SEDR,1.8968829660761186,CLISI
SEDR,1.9502708975526948,CLISI
SEDR,1.0,CLISI
SEDR,2.2510507388355956,CLISI
SEDR,2.4231111598187587,CLISI
SEDR,0.9999999999999996,CLISI
SEDR,1.4601663373395835,CLISI
SEDR,1.5305121215629691,CLISI
SEDR,2.176629659845897,CLISI
SEDR,1.21085202471737,CLISI
SEDR,1.2693676287276965,CLISI
SEDR,1.386812685735124,CLISI
SEDR,2.0110648303847363,CLISI
SEDR,1.467959021865091,CLISI
SEDR,2.1745854205933437,CLISI
SEDR,2.1234950756448696,CLISI
SEDR,1.0030442774893817,CLISI
SEDR,1.6761961627685984,CLISI
SEDR,1.8018413038755232,CLISI
SEDR,1.0,CLISI
SEDR,2.0843425920521987,CLISI
SEDR,1.1334505242840613,CLISI
SEDR,2.54861882940243,CLISI
SEDR,1.5598366109298787,CLISI
SEDR,1.4773682606929586,CLISI
SEDR,1.1865315166192008,CLISI
SEDR,2.036041940997023,CLISI
SEDR,1.0051704054496124,CLISI
SEDR,1.81340323432081,CLISI
SEDR,2.6054079031729223,CLISI
SEDR,0.9999999999999991,CLISI
SEDR,1.4607247965611145,CLISI
SEDR,2.8401850527628554,CLISI
SEDR,1.317981781359683,CLISI
SEDR,1.2639650996041074,CLISI
SEDR,1.441740753222157,CLISI
SEDR,1.0022006920526034,CLISI
SEDR,1.0080538788628566,CLISI
SEDR,1.9714938098481265,CLISI
SEDR,1.045130250897306,CLISI
SEDR,1.3222542449409997,CLISI
SEDR,1.0953834352970058,CLISI
SEDR,1.737740389795608,CLISI
SEDR,1.2700491055731682,CLISI
SEDR,1.7783941715608702,CLISI
SEDR,2.042054821442597,CLISI
SEDR,1.1306550245340259,CLISI
SEDR,1.0820469503503984,CLISI
SEDR,1.977665289359175,CLISI
SEDR,1.3265346484279155,CLISI
SEDR,1.1739872914038865,CLISI
SEDR,1.9591857888318538,CLISI
SEDR,2.2455653590656093,CLISI
SEDR,1.0,CLISI
SEDR,2.0514854250110486,CLISI
SEDR,2.387097948744455,CLISI
SEDR,1.0,CLISI
SEDR,1.3090725783504873,CLISI
SEDR,1.0043017524690423,CLISI
SEDR,1.0496078949481003,CLISI
SEDR,1.0421950355086642,CLISI
SEDR,1.9770660095403259,CLISI
SEDR,1.9294795298647822,CLISI
SEDR,0.9999999999999996,CLISI
SEDR,1.354779746314139,CLISI
SEDR,1.18630223137827,CLISI
SEDR,2.126053145567075,CLISI
SEDR,1.0,CLISI
SEDR,2.0305675221201454,CLISI
SEDR,0.9999999999999996,CLISI
SEDR,1.1319081837012683,CLISI
SEDR,1.1494227173811764,CLISI
SEDR,1.1065300176704504,CLISI
SEDR,2.0321947406436816,CLISI
SEDR,1.4339899776007299,CLISI
SEDR,2.0129968672755756,CLISI
SEDR,1.0,CLISI
SEDR,1.9195772530924542,CLISI
SEDR,1.0,CLISI
SEDR,1.338987073698403,CLISI
SEDR,1.3322823685792633,CLISI
SEDR,1.0017720515805095,CLISI
SEDR,1.3730773998059724,CLISI
SEDR,1.2508485387453308,CLISI
SEDR,1.7384002161363448,CLISI
SEDR,1.0000000000000004,CLISI
SEDR,1.0060451389332872,CLISI
SEDR,1.6765742377969133,CLISI
SEDR,1.132565863628398,CLISI
SEDR,2.859161291085988,CLISI
SEDR,0.9999999999999996,CLISI
SEDR,1.018666951281985,CLISI
SEDR,1.3560786237858249,CLISI
SEDR,1.1080054540168205,CLISI
SEDR,1.0000000000000007,CLISI
SEDR,1.3841402098285698,CLISI
SEDR,2.183406761574116,CLISI
SEDR,1.5257687646359164,CLISI
SEDR,1.9816818329991543,CLISI
SEDR,1.368302178791116,CLISI
SEDR,1.0550011929288676,CLISI
SEDR,1.0293381093053302,CLISI
SEDR,2.404759466141496,CLISI
SEDR,1.504474004326087,CLISI
SEDR,2.138109660799061,CLISI
SEDR,1.0000000000000002,CLISI
SEDR,1.8085649482272221,CLISI
SEDR,0.9999999999999996,CLISI
SEDR,1.4078932574686562,CLISI
SEDR,2.3094925947290137,CLISI
SEDR,1.0396577346097577,CLISI
SEDR,1.0029758952513566,CLISI
SEDR,1.200775508876206,CLISI
SEDR,1.0070458874705144,CLISI
SEDR,1.1485320642521628,CLISI
SEDR,1.612663625506765,CLISI
SEDR,1.0146575021169657,CLISI
SEDR,1.4737785091584434,CLISI
SEDR,1.8925385209466004,CLISI
SEDR,1.5008661924011035,CLISI
SEDR,1.8988045429491198,CLISI
SEDR,1.9930271244849853,CLISI
SEDR,1.0000000000000002,CLISI
SEDR,1.3558733074151028,CLISI
SEDR,1.0000000000000002,CLISI
SEDR,1.9160159294985462,CLISI
SEDR,2.24711661962548,CLISI
SEDR,1.1768157079492365,CLISI
SEDR,1.0350408811327523,CLISI
SEDR,1.279715138891859,CLISI
SEDR,0.9999999999999996,CLISI
SEDR,1.0316925600430802,CLISI
SEDR,1.031580253690343,CLISI
SEDR,1.0299127328269753,CLISI
SEDR,1.791137130541255,CLISI
SEDR,1.2678465252668054,CLISI
SEDR,1.0300321358241036,CLISI
SEDR,1.1774988909290964,CLISI
SEDR,1.7153729029614604,CLISI
SEDR,1.524469270354834,CLISI
SEDR,1.4771286288189236,CLISI
SEDR,1.90222755933156,CLISI
SEDR,2.633772026417809,CLISI
SEDR,1.3672942310983838,CLISI
SEDR,1.345885729150873,CLISI
SEDR,1.348219893726339,CLISI
SEDR,1.200613278022117,CLISI
SEDR,1.0521954358958843,CLISI
SEDR,1.2469976994810739,CLISI
SEDR,2.00603283183178,CLISI
SEDR,1.008261069782989,CLISI
SEDR,1.1535249407176038,CLISI
SEDR,1.1316668647490602,CLISI
SEDR,1.73897591207958,CLISI
SEDR,2.512885152316502,CLISI
SEDR,1.6027551712517552,CLISI
SEDR,1.1295767473319565,CLISI
SEDR,1.0463786770075023,CLISI
SEDR,1.2309386348782194,CLISI
SEDR,2.234665242138038,CLISI
SEDR,1.5798903705728549,CLISI
SEDR,1.242979622865151,CLISI
SEDR,1.1342818058429607,CLISI
SEDR,1.954422129444759,CLISI
SEDR,1.0250339144750602,CLISI
SEDR,2.074897629420933,CLISI
SEDR,1.4514278644597072,CLISI
SEDR,1.4102013769631587,CLISI
SEDR,1.2031421157954036,CLISI
SEDR,1.3989638566510758,CLISI
SEDR,1.3761794971289036,CLISI
SEDR,1.6802051756705514,CLISI
SEDR,1.429608265017575,CLISI
SEDR,1.024726658006365,CLISI
SEDR,1.0556264865209355,CLISI
SEDR,1.136503719561902,CLISI
SEDR,2.879311075066709,CLISI
SEDR,1.554842302945816,CLISI
SEDR,1.0072148545022976,CLISI
SEDR,1.1227547068363384,CLISI
SEDR,1.3266722805997877,CLISI
SEDR,1.458429392761021,CLISI
SEDR,1.0275852641897267,CLISI
SEDR,1.1817570441099605,CLISI
SEDR,1.6051423291830536,CLISI
SEDR,1.079643806377148,CLISI
SEDR,1.314206054458899,CLISI
SEDR,1.1626304526937508,CLISI
SEDR,1.3695537225510945,CLISI
SEDR,1.0,CLISI
SEDR,1.1228345347305466,CLISI
SEDR,2.413701764854921,CLISI
SEDR,1.222620176775862,CLISI
SEDR,2.759030778382113,CLISI
SEDR,1.1529032271982105,CLISI
SEDR,1.7145501604770073,CLISI
SEDR,1.068342710507845,CLISI
SEDR,1.0200682750288979,CLISI
SEDR,1.2191737671507168,CLISI
SEDR,1.7875253315475463,CLISI
SEDR,2.795068498470896,CLISI
SEDR,1.879073991136928,CLISI
SEDR,1.4234353996792963,CLISI
SEDR,1.8461465632087048,CLISI
SEDR,2.3799688634528704,CLISI
SEDR,1.0459112437358333,CLISI
SEDR,2.238843298324212,CLISI
SEDR,1.0655195243209181,CLISI
SEDR,1.3480299361535233,CLISI
SEDR,1.186853835460122,CLISI
SEDR,1.172697992639713,CLISI
SEDR,0.9999999999999996,CLISI
SEDR,1.3673227998442608,CLISI
SEDR,1.2486015696038342,CLISI
SEDR,1.941152561331185,CLISI
SEDR,1.1386835299858187,CLISI
SEDR,1.1892370548046118,CLISI
SEDR,1.3095431242598818,CLISI
SEDR,1.365760492002456,CLISI
SEDR,1.887536230982493,CLISI
SEDR,1.0,CLISI
SEDR,1.012759143581521,CLISI
SEDR,1.0,CLISI
SEDR,1.028681728082447,CLISI
SEDR,1.2080124842811943,CLISI
SEDR,1.37970612503617,CLISI
SEDR,2.1431649447629706,CLISI
SEDR,1.1905314589698126,CLISI
SEDR,1.5089134922837943,CLISI
SEDR,1.6255675493886388,CLISI
SEDR,1.63184556274659,CLISI
SEDR,1.0060511562024745,CLISI
SEDR,1.034906504563797,CLISI
SEDR,1.1901333902692197,CLISI
SEDR,1.0030278069936576,CLISI
SEDR,1.1885432098869217,CLISI
